kda,win
2.63636,0
1.45455,0
2.9,1
1,0
6.33333,1
2.7,0
2.71429,1
3.2,0
2,1
1,0
7,1
2.28571,0
2,1
6,1
1.44444,0
2.85714,0
1.25,1
2,1
2.6,0
2.57143,0
1.8,1
1.16667,0
21,1
2.6,1
3.75,0
3.5,1
1.75,0
1.1,1
3.16667,0
1.44444,0
1.5,1
3.25,1
2.4,0
2,1
1,0
3.5,1
1.5,0
13,1
1,0
0.166667,0
16,1
5.8,1
1.11111,0
1.18182,0
5.75,1
4.33333,1
1.75,0
3.25,1
1.14286,0
2.57143,0
3.28571,1
1.22222,0
2.42857,1
3.66667,1
3,0
1.11111,0
7.33333,1
1.88889,0
3.28571,1
1.72727,0
4,1
1.4,0
1.75,1
22,1
0.333333,0
1.375,0
10.5,1
3.5,0
7,1
2.4,1
5,0
5.5,1
1,0
19,1
1,0
2.25,0
3.25,1
3.5,1
0.5,0
2.8,1
1,0
2.5,0
15,1
0.428571,0
3.6,1
2.6,0
10,1
2.5,0
7.33333,1
0.714286,0
6.33333,1
2.14286,1
3.28571,0
1.42857,1
0.555556,0
4.75,1
1.5,0
2.77778,0
1.8,1
1.66667,0
1,1
1.57143,0
3.8,1
1.77778,0
3.66667,1
2.09091,0
5.375,1
0.6,0
17,1
2.14286,0
5,1
1.33333,0
5.66667,1
18,1
0.444444,0
5.25,1
2.14286,0
6.66667,1
1.18182,0
2,0
4,1
2.11111,0
2.33333,1
20,1
1.16667,0
0.285714,0
11,1
8,1
1,0
3.5,0
4.2,1
7.75,1
0.833333,0
1.33333,0
4,1
0.666667,0
6.33333,1
5,1
0.2,0
1,0
6,1
4,1
1.2,0
2,0
6.5,1
5.6,1
1.54545,0
9.5,1
2.33333,0
3.2,1
2.66667,0
1.41667,0
6.5,1
2,1
1.28571,0
1.55556,0
2.2,1
5,1
2.5,0
1.6,0
2.66667,1
0.625,0
11,1
2.75,1
2.33333,0
13,1
0.6,0
6.33333,1
1.16667,0
1.125,0
7,1
3,1
1.2,0
4.16667,1
2.7,0
3,1
1.8,0
3.2,1
1.2,0
0.166667,0
9,1
2.28571,1
2.71429,0
4.5,1
3,0
6.25,1
2.42857,0
4.8,1
6.66667,0
0.714286,0
5,1
2.66667,1
0.8,0
1,0
2,1
1,0
18,1
3.75,0
1.625,1
1,0
3.25,1
3.58333,1
1.72727,0
1.125,0
5.33333,1
2.66667,1
1.55556,0
22,1
1,0
10,1
1.33333,0
1.22222,0
6.66667,1
5.25,1
1.66667,0
1.33333,0
4,1
1.42857,0
2.6,1
0.727273,0
6,1
2.5,0
2.66667,1
2.66667,0
2.14286,1
3.6,0
2.42857,1
4,1
0.375,0
6.25,1
2.14286,0
0.888889,0
8.5,1
1.14286,0
2.5,1
0.818182,0
5.33333,1
3.16667,1
2.5,0
9.33333,1
0.5,0
2.55556,0
3.375,1
5,1
1.66667,0
16,1
0.428571,0
0.875,0
3.6,1
2.33333,0
3.42857,1
1,0
6,1
1.42857,0
4.75,1
4,1
1.63636,0
0.666667,0
11,1
1.125,0
9.5,1
1.75,0
3.6,1
2.66667,1
1.33333,0
7,1
2.16667,0
2.875,0
3,1
2.25,0
2.875,1
3.57143,0
3.33333,1
1.4,1
1.66667,0
3.16667,1
1.6,0
10,1
0.75,0
7.33333,1
1,0
20,1
2.14286,0
2.14286,0
5.6,1
5.2,1
0.571429,0
0.666667,0
11.5,1
4.33333,1
1.5,0
2.6,0
9,1
1.75,0
4.75,1
3.75,0
1.66667,1
4.6,1
1.66667,0
9,1
2,0
5.33333,1
2.2,0
11,1
1,0
9,1
1.14286,0
4.25,1
1.71429,0
7,1
1.7,0
20,1
1.11111,0
13,1
1.66667,0
0.666667,0
7,1
2.125,1
2.77778,0
6,1
3,0
2.57143,1
2.88889,0
1.5,0
2,1
3.14286,1
1.5,0
12,1
1.2,0
2.77778,1
2,0
0.625,0
4.33333,1
14,1
0.333333,0
0.75,1
1,0
12,1
1.6,0
13.5,1
2.16667,0
2.75,0
3.57143,1
2,1
2,0
1.28571,0
10,1
7.33333,1
0.875,0
4,1
0.714286,0
8,1
2,0
3.33333,1
3.4,0
2,1
3,0
2.25,0
6.5,1
6,1
0.4,0
2.14286,1
1.63636,0
4.75,0
2,1
1.33333,0
5,1
4.75,0
2.5,1
6.2,1
2.22222,0
5.66667,1
0.846154,0
0.7,0
20,1
4.5,0
1.58824,1
13,1
1,0
2.7,0
4.42857,1
3,0
3.66667,1
6,1
1.14286,0
4,1
1,0
1.66667,0
5.5,1
12,1
0.75,0
4.33333,1
1.33333,0
1.6,0
3.625,1
3.2,0
3.6,1
2,1
4,0
7.5,1
1.8,0
4.66667,1
2,0
6.5,1
2,0
5.4,1
0.916667,0
6,1
1,0
12,1
1.8,0
5.2,1
1.6,0
2.16667,1
2.125,0
10,1
2,0
3,1
1.16667,0
4.4,1
1.9,0
1.77778,0
14.5,1
1.16667,0
3,1
2.66667,0
4.4,1
1.14286,0
6.66667,1
5.33333,1
0.545455,0
1.83333,1
1,0
2.875,0
2.85714,1
6.75,1
1.9,0
1.6,0
5.33333,1
0.9,0
12,1
2,1
1,0
15,1
2,0
1,0
22,1
24,1
2.57143,0
7,1
1.125,0
8,1
2,0
17,1
1,0
2.33333,1
5,0
2.2,0
6.5,1
4.25,1
2.33333,0
20,1
1.5,0
1.07143,0
2.90909,1
5,1
3.6,0
12,1
0.428571,0
1.33333,0
5,1
1.83333,0
2.6,1
0.444444,0
8.5,1
3.4,1
1.71429,0
6.75,1
4,0
1.77778,0
4.66667,1
2.14286,0
4.2,1
6.5,1
2.2,0
1.2,0
3,1
1.4,0
3.5,1
1.66667,0
2,1
7,1
1.25,0
2.875,0
2.42857,1
2,1
2.6,0
7.25,1
1.57143,0
2.45455,1
0.727273,0
4.33333,1
1.2,0
4,0
9,1
27,1
3.66667,0
10.6667,1
1,0
5.75,1
0.583333,0
0,0
5,1
2.57143,0
11.6667,1
1.2,0
4.5,1
5.8,1
1.81818,0
3,0
0.714286,1
1.11111,0
3.8,1
18,1
1.25,0
1.85714,0
5,1
2.33333,1
1.4,0
3.5,0
2.6,1
2.85714,0
3.71429,1
14,1
1.4,0
1.66667,0
4,1
5,1
2.75,0
1.71429,0
4,1
0.714286,0
1.75,1
0.923077,0
32,1
19,1
1.28571,0
5,1
2.42857,0
6.66667,1
3.2,0
12,1
0.6,0
1.16667,0
4,1
1.5,0
10,1
4.5,1
2.33333,0
16,1
0.4,0
3.33333,1
3.66667,0
1.625,0
3.42857,1
0.9,0
3.75,1
1.5,0
5.5,1
2.22222,0
8,1
3.33333,1
1.75,0
26,1
1.125,0
1.42857,0
8,1
1,0
3.5,1
6,1
1.88889,0
4.16667,1
1.55556,0
1.63636,0
4.6,1
1.57143,0
22,1
4.33333,1
2,0
6,1
1.81818,0
1.15385,0
4.33333,1
5.66667,1
4,0
2.5,0
1.9,1
1.42857,0
6.75,1
1.57143,1
2.14286,0
1.16667,0
6,1
1.2,0
2.42857,1
2.71429,1
1.2,0
5,1
1.83333,0
1.28571,0
4.66667,1
1.66667,0
2.66667,1
0.5,0
11,1
0.8,1
19,0
1.66667,0
11,1
1,0
27,1
2.14286,0
7,1
7.5,1
2.42857,0
13,1
2,0
6.2,1
2.3,0
5.2,1
1.85714,0
6,1
2.5,0
1,1
1,0
1.71429,1
1.85714,0
1.09091,0
7.2,1
4.5,1
1.5,0
2.25,1
5.75,0
2.25,0
3,1
5,1
1.375,0
2.28571,0
3.16667,1
1.6,0
3,1
2.8,0
2.85714,1
10,1
0.8,0
2,0
9,1
12,1
0.428571,0
4.5,1
0.666667,0
1.66667,0
3.5,1
1.42857,0
6,1
2,0
8,1
2.16667,0
3.75,1
1.33333,0
6.33333,1
3.42857,0
2.66667,1
1.57143,1
4,0
0.636364,0
7.5,1
1,1
0.5,0
4,0
4.5,1
7,1
0.5,0
5.66667,1
2.5,0
1,0
2.25,1
3.5,0
2.6,1
0.2,0
8.66667,1
5.8,1
3.6,0
9,1
1,0
5.33333,1
0.833333,0
4.8,1
1.83333,0
0.666667,0
4.33333,1
3,0
2.42857,1
6.5,1
2.2,0
1.28571,0
19,1
18,1
1.66667,0
1.85714,0
14.5,1
14,1
1,0
5.42857,1
2.5,0
8,1
1.125,0
2.71429,0
2.8,1
11.5,1
1.33333,0
4,0
1.57143,1
1.77778,0
3.5,1
1.33333,0
6.6,1
3.5,1
2,0
3.71429,0
5.6,1
1.88889,0
2.11111,1
5.33333,1
1.07692,0
4,0
7.66667,1
4.6,1
1.57143,0
6,1
0.5,0
7,1
0.75,0
1.85714,0
7.66667,1
3.33333,0
4.6,1
8,1
2.33333,0
1.8,0
3,1
1.55556,0
6.8,1
1.3,0
8,1
2.33333,1
2,0
7,1
2,0
3.66667,1
3.66667,0
2,0
2.66667,1
13,1
0.666667,0
2.28571,0
4.33333,1
3.5,1
0.75,0
6.33333,1
2,0
2.30769,1
1.77778,0
0.8,0
9,1
8,1
0.5,0
0.727273,0
23,1
2.71429,1
1.28571,0
1.77778,0
3.83333,1
2.125,1
1.77778,0
4.71429,1
1.72727,0
17,1
1.2,0
2.33333,0
12,1
1,0
13,1
20,1
0.375,0
2,0
7.5,1
9.33333,1
2.57143,0
5,1
0.875,0
4.28571,1
2,0
1.33333,0
12,1
1.375,0
9,1
3.2,1
1.66667,0
1.57143,1
2,0
0.3,0
6,1
17,1
2.33333,0
23,1
0.5,0
2.66667,0
9.33333,1
2.4,0
0.7,1
2.5,1
1.25,0
0,0
7,1
1.71429,0
4,1
4,1
1.4,0
5.75,1
2,0
1.66667,1
3.6,0
1.1,0
2.55556,1
12.5,1
1.33333,0
4.875,1
1.42857,0
5,1
0.9,0
14,1
1,0
3.8,1
2.28571,0
10.5,1
2.4,0
1,0
2.66667,1
2.14286,0
2.57143,1
11,1
1,0
9.5,1
2,0
2.625,0
4.8,1
0.857143,0
4.66667,1
8,1
0.8,0
2.2,0
8,1
0.8,0
14,1
3.42857,1
1.44444,0
8.5,1
1.2,0
2.83333,1
2.375,0
1,0
8,1
7.5,1
0.333333,0
0.7,0
4.6,1
1,0
4.8,1
17,1
1.5,0
3.8,1
1.71429,0
1.2,0
1.6,1
0.5,0
3.33333,1
0.833333,0
2.8,1
1.2,0
4.66667,1
2.8,0
3.57143,1
3.57143,0
5,1
3.375,1
1.55556,0
10,1
0.714286,0
3,1
1.1,0
14,1
1.85714,0
0.769231,0
1.8,1
0.4,0
8,1
7,1
1.45455,0
1.22222,0
5.33333,1
1.5,1
1.25,0
2.4,0
5.25,1
6,1
1.33333,0
22,1
2.2,0
2.25,0
5.33333,1
3,0
4.25,1
1.33333,0
2.75,1
1,0
2,1
1.81818,0
6,1
8.5,1
2.6,0
4.4,1
2.57143,0
2.66667,1
2,0
9,1
1.75,0
1.75,0
3.125,1
2.42857,0
3.75,1
1.55556,0
7.5,1
5.33333,0
3,1
1.77778,0
5,1
1.5,0
19,1
11.5,1
1.44444,0
5.8,1
1.53333,0
3.8,0
4.75,1
5,1
1,0
6,1
1.5,0
3.33333,0
9.5,1
10.5,1
1.54545,0
0.833333,0
4.66667,1
9,1
1.2,0
9,1
1.8,0
0.75,0
5.33333,1
5.25,1
1.2,0
4.83333,1
2.66667,0
1.5,1
1.72727,0
0.333333,0
9,1
1,0
2.88889,1
1.55556,0
4.5,1
4,1
1.5,0
3.33333,1
0.666667,0
4.25,1
5.33333,0
3,1
4.16667,0
2.5,0
3,1
3.14286,1
2.11111,0
0.333333,0
5.33333,1
2.5,1
2,0
8,1
2.5,0
5.25,0
2,1
0.923077,0
4.33333,1
1.85714,0
4,1
6.5,1
0.666667,0
1.42857,0
4,1
8.25,0
2,1
4,1
2.8,0
3.25,1
1,0
1.77778,0
3.14286,1
1.33333,0
8,1
4,1
1.77778,0
0.25,0
8,1
2.66667,1
1,0
4.5,1
2.71429,0
6.5,1
1.25,0
1.8,0
11,1
1.57143,1
1.75,0
2.75,1
4,0
9,1
1,0
1.42857,1
2.375,0
7,1
0.555556,0
7.66667,1
0.615385,0
2.4,0
3.6,1
3,1
2,0
2.22222,0
2.83333,1
1,0
18,1
15,1
1.4,0
7.5,1
1.66667,0
2.28571,0
2.4,1
3.75,1
1.5,0
1.66667,1
1.9,0
5.25,1
3,0
3.83333,0
2.625,1
1.5,0
4,1
5.5,1
1.42857,0
1.5,0
5.66667,1
2.5,0
7.66667,1
1.23077,1
0.909091,0
1.16667,0
4.33333,1
7.25,1
2,0
18,1
0.888889,0
1.4,0
1.85714,1
5,1
2.2,0
1.66667,0
15,1
1.5,0
2.8,1
6,1
0.75,0
3.25,1
1,0
2.83333,1
0.888889,0
3.2,0
1.66667,1
3,1
1.25,0
2.5,1
1.66667,0
0.555556,0
4.33333,1
1.75,0
1.875,1
6,1
2.25,0
1.75,0
4.5,1
5,1
2.4,0
1.625,1
2,0
1.9,1
1.8,0
6.66667,1
0.875,0
1.25,0
6.25,1
5.5,1
1.22222,0
2.5,1
2.125,0
13.5,1
0.5,0
1.6875,0
7,1
9.66667,1
0.8,0
1.2,0
12,1
11,0
5.75,1
6,1
2,0
1.85714,0
5,1
1.5,1
1,0
2,0
2.4375,1
2.28571,0
17.5,1
3.2,1
1.27273,0
1.85714,0
6,1
2.28571,0
4.2,1
1.25,0
4,1
1.66667,0
2.66667,1
2.55556,0
4.875,1
10,1
0.5,0
5,1
1,0
3.6,1
0.714286,0
1.16667,0
10.5,1
1.66667,0
4.4,1
12,1
0.4,0
1.22222,1
1.875,0
3.75,1
1.5,0
2,0
2.5,1
5.5,1
1.25,0
6,1
0.5,0
1,0
1.66667,1
10,1
1.4,0
2.25,1
2,0
0.444444,0
5.5,1
7.5,1
0.833333,0
1.28571,0
4.5,1
4.14286,0
4.5,1
7.66667,1
6,0
3.55556,0
3,1
0.833333,0
9,1
0.666667,0
6,1
2.25,0
12,1
2.16667,0
12,1
0.888889,0
9,1
6,1
1.25,0
4,1
0.916667,0
3,0
1.90909,1
4,1
4,0
1.66667,0
11,1
2,1
3,0
1.875,0
6,1
1.5,0
4.75,1
2,0
4.8,1
8,1
1,0
1.57143,1
2.66667,0
4.75,1
1.1,0
0.5,0
7.33333,1
0.888889,0
8.33333,1
4.5,1
3,0
1.66667,0
5,1
2.33333,1
1.66667,0
8,1
0.666667,0
1.25,0
17,1
3.5,1
2.28571,0
11,1
1,0
1.83333,0
2,1
4.66667,1
0.909091,0
3.75,1
2.2,0
2.3,1
1,0
3.09091,1
2.6,0
1.2,0
6.66667,1
1.36364,0
6.5,1
3.9,1
2.53846,0
7,1
0.4,0
0.666667,0
12,1
1.5,0
6.33333,1
3.75,0
11.5,1
3,1
1.85714,0
1,0
28,1
7.4,1
3.25,0
6.4,1
1.25,0
6.5,1
1,0
5,1
0.777778,0
1.625,1
1.5,0
1.5,0
8,1
2,1
4.42857,0
2.5,0
2.8,1
6.4,1
1.61538,0
1.14286,0
10,1
3.57143,1
1.5,0
2.4,1
1.66667,0
3.6,1
2,0
5.5,1
0.888889,0
4.6,1
2.5,0
1.85714,1
4.75,0
11,1
0.428571,0
3.5,1
1.11111,0
8,1
1.6,0
6.33333,1
2,0
4.66667,0
1,1
3.75,1
2.42857,0
0.375,0
7.5,1
1.66667,0
4.5,1
1.16667,0
3.83333,1
3.6,0
2.25,1
2.25,1
1.45455,0
4.5,1
2.8,0
3.66667,1
1.25,0
2,1
2.66667,0
0.8,0
11,1
3.11111,1
1.55556,0
2.8,0
3.16667,1
10,1
0.333333,0
6,0
3.5,1
4.5,1
1.38462,0
8,1
2.8,0
4.125,1
1.875,0
2.2,0
4.25,1
0.666667,0
9.5,1
3.66667,1
1.36364,0
20,1
0.666667,0
8,1
2.5,0
11.5,1
0.5,0
1.6,0
7.5,1
1,0
22,1
1,0
5,1
2.4,1
4.66667,0
13,1
1.6,0
0.7,0
5,1
9,1
0.333333,0
8,1
0.428571,0
7,1
0.833333,0
1,1
2.28571,0
2.11111,1
2.1,0
2.75,0
3.5,1
6,1
1.2,0
7,1
1.16667,0
6.66667,1
1.09091,0
1.54545,0
4.33333,1
1.85714,0
3.4,1
3.66667,1
1,0
0.857143,0
5,1
1.08333,0
9,1
2.09091,0
3,1
1.66667,0
5.6,1
10,1
0,0
1.66667,1
2.55556,0
2.4,1
2.83333,0
10,1
1.16667,0
3.33333,1
4.25,0
2.66667,0
3.2,1
3.66667,1
2.35714,0
3.33333,1
1.25,0
0,0
7,1
1.42857,0
4.75,1
7,1
1.66667,0
2.88889,1
1.63636,0
3.5,0
4.33333,1
4,1
1.125,0
1.44444,0
5.25,1
2.375,0
4.8,1
2.75,1
1.16667,0
10,1
0.6,0
2.125,1
2.55556,0
6.25,1
1.3,0
7,1
2,0
1,0
7.66667,1
1.4,0
3.83333,1
1.375,0
17,1
7.33333,1
1.625,0
1.625,0
3.83333,1
1.5,0
10.5,1
7.66667,1
2,0
3.71429,1
1.27273,0
1.1,0
12.5,1
5,1
1,0
0.916667,0
4.25,1
4.66667,1
3,0
2.16667,1
2.14286,0
1.46667,1
2.375,0
2.6,0
5.5,1
18,1
1.57143,0
0.333333,0
6.5,1
4,1
0.533333,0
5.4,1
2.11111,0
4.5,0
3,1
1.75,0
3.8,1
1.66667,0
2.4,1
4.66667,1
2.75,0
0.6,0
8.25,1
1.4,0
4.66667,1
1.33333,0
3.75,1
0,0
10,1
7.33333,1
1,0
1.375,0
10.3333,1
4.75,1
1.33333,0
3.66667,1
0.75,0
1.5,0
3.25,1
1.8,0
19,1
3.14286,0
3.4,1
2.85714,0
4.14286,1
2.4,0
4.33333,1
1.7,0
4.2,1
0.6,0
4,1
2,1
2.25,0
1.33333,0
8.5,1
5,0
5.5,1
3.57143,1
2.71429,0
8,1
1,0
4,1
3,0
2.44444,1
3.6,0
8,1
3,0
2.5,0
8,1
5.5,1
2.16667,0
1.5,0
2,1
8.66667,1
1.3,0
7,1
1.5,0
1.8,0
9,1
12,1
0.222222,0
4.25,1
2.14286,0
2.66667,0
2,1
4.14286,0
3,1
3,1
1.75,0
3.33333,0
13,1
5,1
1.33333,0
1.5,0
1.75,1
5.75,1
2.71429,0
1.2,0
16,1
2.4,1
0.642857,0
5,1
4.5,0
4,0
5,1
4,1
0.333333,0
1.58333,0
3,1
1.54545,0
2.66667,1
0.571429,0
20,1
2.18182,0
6,1
9,1
1.25,0
0.888889,0
20,1
1.5,0
1.2,1
2,0
5.75,1
4.42857,1
3,0
5.66667,1
0.444444,0
2.5,0
3.5,1
6,0
4,1
2.77778,1
2.2,0
6.66667,1
1.33333,0
1.375,0
12,1
3.33333,0
3.4,1
1.14286,0
6,1
1.42857,0
4.5,1
5,1
0.75,0
1.8,1
1.14286,0
9,1
0.4,0
16,1
0.857143,0
6.25,1
0.555556,0
1.5,0
2.33333,1
1.45455,0
3.33333,1
2.28571,0
5.6,1
3.25,1
1,0
0.727273,0
4.6,1
1.27273,0
10,1
4.875,1
2.2,0
1.75,0
3.66667,1
2.71429,0
1.83333,1
21,1
1.14286,0
4.75,1
1.25,0
3,1
2,0
13,1
0.4,0
3.8,1
7.5,0
7,1
2.14286,0
13,1
4,0
1.28571,0
5.6,1
0.666667,0
5.33333,1
7.75,1
1.5,0
5.5,1
1.66667,0
1.6,0
4.33333,1
3,0
4,1
0.8,0
2.66667,1
2.5,1
3.5,0
8,1
1.6,0
13,1
1.18182,0
1.875,0
4,1
1.66667,0
4.33333,1
1.72727,1
1.75,0
3.71429,0
2.57143,1
5.5,1
2,0
3,1
3,0
1.5,0
5.5,1
3.42857,1
1.33333,0
4,1
0.75,0
1.5,0
1.6,1
7,1
1,0
1.5,0
5.6,1
7,1
1,0
3.75,0
3.14286,1
1.71429,0
6.25,1
4.5,1
2.8,0
2,0
5.8,1
3.33333,0
5.4,1
15,1
1.6,0
3.33333,1
1.25,0
1.75,0
3.85714,1
5,1
4.25,0
9,1
0.714286,0
2.5,1
5,0
2.88889,1
1.3,0
2.25,0
6.33333,1
6,0
3,1
1,0
5.33333,1
2.625,0
13.5,1
1.14286,0
20,1
11,1
2,0
3.4,1
1.71429,0
6.5,1
2,0
2.16667,1
4.42857,0
4,1
2.6,0
2,0
2.75,1
6,1
0,0
4.57143,1
1.4,0
1.28571,0
33,1
0.25,0
6.33333,1
1.57143,0
5.25,1
3.5,0
4,1
6.33333,1
0.875,0
1.5,1
0.25,0
1,0
4,1
3.5,1
2,0
0.333333,0
9,1
12.5,1
0.8,0
3.8,0
3.5,1
6.33333,1
0.545455,0
3.66667,0
2,1
6,1
2.5,0
7,1
2.6,0
0,0
10,1
4.5,1
2,0
1,0
6,1
1.125,0
11,1
1.625,0
5.8,1
1.16667,0
5.5,1
1.71429,0
3.2,1
1.33333,0
5.75,1
6.33333,1
2.66667,0
3.6,1
1.11111,0
2.125,1
2.125,0
2,0
2.33333,1
3.14286,1
4,0
1,1
1.66667,0
2.33333,0
23,1
2.66667,1
1.33333,0
2.33333,0
27,1
5.75,1
2.14286,0
0,0
9,1
2.2,1
1.14286,0
7,1
1.6,0
7,1
2.25,0
7.5,1
2,0
1.14286,0
14,1
4.5,0
8.33333,1
8.5,1
0,0
5.33333,1
1.25,0
5,1
0,0
28,1
0.714286,0
3.33333,1
3,0
4.5,1
2.5,0
3.66667,1
1.5,0
0.75,0
2,1
16,1
2,0
6.6,1
2.125,0
2.5,0
4,1
1.42857,0
5,1
2.2,1
0.363636,0
4.33333,1
7.66667,0
1.75,0
2.33333,1
1.27273,0
2,1
0,0
3,1
2.25,0
4.42857,1
3.16667,1
2.3,0
5.5,1
0.818182,0
4.28571,1
1.63636,0
3,1
2,0
9.5,1
1,0
1.875,1
2.57143,0
11,1
1.4,0
4,1
1.33333,0
2.2,0
5,1
3,1
1.75,0
0.777778,0
29,1
5.5,0
2.5,1
1.625,0
2.85714,1
1.25,0
5.2,1
1.75,0
3.33333,1
2.66667,1
2,0
2.88889,0
5,1
1.125,0
7,1
2.6,0
4.75,1
0.833333,0
3.25,1
6.25,1
2.5,0
2.77778,0
3,1
0.857143,0
5,1
3.16667,1
2,0
2.5,0
2.83333,1
2.2,1
3,0
3.28571,0
3.75,1
15,1
1.25,0
5.5,1
1.25,0
6.33333,1
3.5,0
7.33333,1
1.28571,0
4.33333,0
1.2,1
3,0
3,1
4.5,1
2,0
0.625,0
11,1
3.11111,0
1.54545,1
1.76923,0
7.33333,1
0.5,0
12,1
4,1
0.4,0
13,1
0.714286,0
1.66667,0
2,1
1.125,0
12,1
1.2,1
1.57143,0
3.8,1
2,0
5,1
1.4,0
1.16667,0
4.66667,1
3,1
1,0
0.909091,0
5.75,1
4,1
0.538462,0
12,1
0.571429,0
3,1
2.11111,0
1.625,0
16,1
1.5,0
3,1
4,0
5,1
0.428571,0
7,1
0.75,0
2.2,1
2.8,1
2.5,0
6.5,1
1.33333,0
4.14286,1
1.625,0
3.75,1
1.27273,0
0.875,0
2.5,1
15,1
0.666667,0
2.57143,0
4.2,1
4.4,1
2,0
0.666667,0
5,1
6,1
0.818182,0
1,0
12,1
1.7,0
3.14286,1
7.33333,1
2.14286,0
1.375,0
14,1
12,1
5.2,0
2.16667,0
7.66667,1
4.125,1
2.85714,0
0.875,0
2.2,1
1.5,0
3.85714,1
1.5,0
3.4,1
4.66667,0
4.5,1
19,1
0.5,0
2,0
9,1
1.75,0
2.5,1
3.75,1
1,0
2.6,1
1.3,0
16,1
1.14286,0
1.54545,0
4.83333,1
4,1
1.75,0
3.25,0
5.5,1
2.14286,0
9,1
4,1
1.11111,0
5.66667,1
1.5,0
0.666667,0
2.83333,1
12,1
0.5,0
1,0
3,1
1.33333,0
3,1
4.66667,1
0.5,0
4.66667,0
2,1
2.14286,0
12.5,1
14,1
1.21429,0
0.666667,0
16,1
2.5,0
3,1
4.25,0
6.66667,1
4,0
3.6,1
1.77778,1
2.375,0
4.66667,1
2.5,0
3.66667,0
3.25,1
1.875,0
2.16667,1
0.666667,0
5,1
2.16667,0
8.33333,1
8,1
2.5,0
1.55556,0
3.125,1
5.75,1
1.5,0
2.77778,0
2.33333,1
0.538462,0
6.25,1
3.14286,1
2.11111,0
4,1
1.75,0
4.5,1
1.33333,0
13,0
1.625,1
4,1
1.5,0
2.81818,1
1.90909,0
6,1
1,0
3,0
4.25,1
3.6,1
3,0
5,1
0.666667,0
3,1
2,0
20,1
0.5,0
3.71429,1
2.375,0
4.5,1
2.5,0
6.5,1
0.714286,0
15,1
0.444444,0
2.4,1
2.36364,0
12,1
0.714286,0
3,1
0.555556,0
9.5,1
1.8,0
4.5,0
4.6,1
2.2,0
3.375,1
6.5,1
2,0
5.6,0
1.36364,1
2.75,0
2.44444,1
2.375,0
2.22222,1
1.5,0
6.5,1
1.875,0
5.25,1
6,1
0.888889,0
11,1
0.625,0
2.22222,0
4.83333,1
2.6,1
1.125,0
2,0
8.5,1
0.9,0
5,1
1.44444,0
4.2,1
2.6,0
13,1
0.833333,0
4.75,1
2,0
1.8,1
1.58333,0
2.90909,1
4.16667,1
1.54545,0
0.583333,0
4.66667,1
8,1
2.25,0
3.16667,1
1.85714,0
2.11111,1
3.83333,0
2.5,0
2.85714,1
3.5,1
1.83333,0
2.5,0
3.2,1
5,1
0.125,0
1,0
2.6,1
4.14286,1
2.45455,0
3,0
4.5,1
1.8,0
4.33333,1
2.4,0
4.28571,1
1.125,0
4,1
2,1
2.5,0
2.5,0
3.75,1
2.57143,0
4.16667,1
3.66667,1
1.08333,0
1.44444,0
3.71429,1
1.22222,0
4.25,1
1.33333,0
25,1
1,1
6,0
0.666667,0
23,1
1.57143,0
3.66667,1
1,0
15,1
16,1
4,0
21,1
1.5,0
2,0
6,1
2.83333,0
6,1
3,1
0.7,0
11,1
0.25,0
4.85714,1
0.692308,0
14,1
1.44444,0
10.5,1
0.75,0
10,1
1.18182,0
1.54545,1
5.75,0
1.375,0
2.66667,1
4,1
1.66667,0
12,1
1.14286,0
1.5,0
8,1
0.666667,0
9,1
3.66667,1
0.833333,0
2.625,1
4.125,0
1.57143,0
8,1
1.3,0
3.25,1
5.2,1
1.57143,0
3.66667,0
4.6,1
2.75,1
2.5,0
6.5,1
1.5,0
1.42857,0
3.6,1
7,1
0.25,0
0.272727,0
7.66667,1
1,1
2.16667,0
1.63636,1
1.7,0
21,1
0.666667,0
1.33333,0
5.33333,1
2.28571,1
1.66667,0
3.28571,1
1.36364,0
0.714286,0
6.33333,1
2.16667,0
3.5,1
1.14286,0
5.33333,1
4.2,1
1.875,0
3.75,1
0.833333,0
3.33333,1
1.7,0
4.25,1
1.42857,0
0.4,0
7,1
1.66667,1
1.5,0
2.125,0
3.5,1
12,1
0.818182,0
4,1
4.33333,0
1.77778,1
2.28571,0
9.5,1
5,0
2.75,1
4,0
1.66667,0
2.5,1
2,1
0.4,0
1.875,0
11.5,1
6,1
0.5,0
17,1
0.142857,0
4.6,1
1.57143,0
1.22222,0
5.4,1
2.11111,1
2,0
0.8,0
5,1
3.75,1
1,0
1.4,0
7,1
4.4,0
2,1
6,1
1.125,0
6,1
1.25,0
1.375,0
6.75,1
1.7,1
1.88889,0
2.8,1
0.875,0
1.375,0
5.6,1
1.45455,0
4.83333,1
4.6,1
1.11111,0
2.28571,1
3.25,0
4,1
1.90909,0
4.4,1
1.09091,0
3.8,1
2.125,0
5.33333,1
1.125,0
2.6,1
0.9,0
2.28571,0
16,1
3,1
2.875,0
2.2,0
3.75,1
10,1
0.75,0
1,0
5.16667,1
0.888889,0
21,1
3,1
1.6,0
8,1
1.28571,0
4,1
1.33333,0
2.5,1
2,0
2.22222,0
2.66667,1
5,1
1.5,0
2.2,0
18,1
4.66667,0
3,1
2.25,0
3.42857,1
1,0
11,1
0.333333,0
11,1
1.5,0
6,1
2.66667,0
14,1
2.2,0
9,1
2.83333,1
1.4,0
4.14286,1
1.4,0
0.7,0
4,1
27,1
